pred,rsq,step
TK,0.4663118,1
mapgs,0.4663118,2
T_CEC_SOIL,0.4674053,3
T_SAND,0.4680447,4
mat,0.4678377,5
TP,0.4672657,6
T_CEC_CLAY,0.4679004,7
ORGC,0.4677732,8
T_TEB,0.4679054,9
aet,0.4686193,10
map,0.4697543,11
T_OC,0.4686897,12
T_GRAVEL,0.4686023,13
T_BULK_DENSITY,0.4690755,14
tmonthmax,0.4699973,15
gti,0.4704877,16
ai,0.4706833,17
T_PH_H2O,0.4708298,18
T_SILT,0.4713022,19
T_ESP,0.4716111,20
mavgs,0.4721779,21
TOTN,0.472508,22
jmax25,0.4732846,23
T_CACO3,0.4730978,24
CNrt,0.4737827,25
vcmax25,0.4736538,26
alpha,0.4745666,27
T_BS,0.4746607,28
matgs,0.4741521,29
PBR,0.4741894,30
T_CLAY,0.474245,31
gs_accl,0.4737676,32
maigs,0.4743628,33
T_ECE,0.4743954,34
pmonthmin,0.4738369,35
AWC_CLASS,0.4732546,36
cwdx80,0.4734358,37
ndaysgs,0.4725394,38
ALSA,0.4723286,39
mav,0.4641983,40
elv,0.4619924,41
co2,0.4489165,42
tmonthmin,0.4355625,43
mai,0.3750011,44
ndep,0.3371211,45