target,scale,model,pred,rsq,rsq_marg,rmse
leafN,full,LMM,combined,0.69464044,0.04030942,0.2225231
leafN,full,LMM,phylo,0.68181457,NA,0.2225231
leafN,full,RF,combined,0.75713826,NA,3.0669916
leafN,full,RF,phylo,0.64012125,NA,3.7200379
leafP,full,LMM,combined,0.64401623,0.04612329,0.2948855
leafP,full,LMM,phylo,0.62680317,NA,0.2948855
leafP,full,RF,combined,0.55190118,NA,0.3780969
leafP,full,RF,phylo,0.29194223,NA,0.4746876
LeafNP,full,LMM,combined,0.49029415,0.09166851,0.3081523
LeafNP,full,LMM,phylo,0.43885481,NA,0.3081523
LeafNP,full,RF,combined,0.50645909,NA,5.5185677
LeafNP,full,RF,phylo,0.34465077,NA,6.30326
leafN,aggregated,LM,combined,0.11599973,NA,0.3622992
leafN,aggregated,RF,combined,0.45881179,NA,4.8305759
leafP,aggregated,LM,combined,0.21089138,NA,0.3678385
leafP,aggregated,RF,combined,0.34658955,NA,0.5002789
LeafNP,aggregated,LM,combined,0.13128502,NA,0.3592096
LeafNP,aggregated,RF,combined,0.31931082,NA,4.818096
leafN,within,LM,environment,0.01325763,NA,1.1884121
leafN,within,RF,environment,0.29141121,NA,3.0306765
leafP,within,LM,environment,0.02531939,NA,1.2346739
leafP,within,RF,environment,0.32510823,NA,0.3774987
leafNP,within,LM,environment,0.06972691,NA,1.2540745
leafNP,within,RF,environment,0.22331986,NA,5.470056
,,,,,,